NumTweets,VaderComp,VaderPos,VaderNeg,VaderNeu,TB,Stock,ImpactVader,FollowVader,TW,TWPub
2622,0.032322311,0.023996568,0.009188406,0.966816934,0.015927093,24.09,1.463077422,-57.59842548,0.108919904,285.5879888
3139,0.006028226,0.01806913,0.019437719,0.962493788,0.00727781,23.969999,-2.640884804,-1110.492626,0.073570744,230.9385645
4296,-0.045036918,0.076550745,0.104449022,0.819054935,0.049231727,23.610001,-268.1169927,-1281.310625,-0.029677182,-127.4931717
3399,-0.030289703,0.094614593,0.109608414,0.795904384,0.057618804,23.466667,-55.04713548,-1490.838702,0.04981532,169.3222739
2247,-0.071243391,0.069091678,0.101415665,0.829389853,0.08658316,23.323334,-107.4765302,-1231.596312,0.00550597,12.37191568
1598,-0.036468085,0.058569462,0.081787234,0.85961577,0.078374258,23.18,-10.30970945,157.177674,-0.042053954,-67.20221874
1802,0.145373196,0.117377913,0.063311876,0.819305216,0.179307123,22.58,153.4238618,1245.072467,-0.008219625,-14.81176462
1230,0.058290081,0.06225935,0.039594309,0.898141463,0.107101256,22.709999,23.78097512,252.8683801,0.065231969,80.23532159
1007,0.061377557,0.0560715,0.03133863,0.912593843,0.043806876,23,15.17145799,2675.143317,0.076946114,77.48473681
589,0.054439728,0.062831919,0.040322581,0.896889643,0.024032743,22.940001,8.014259253,114.2317241,0.033693436,19.84543407
1127,0.471899734,0.2062937,0.024681455,0.769020408,0.223303064,23.0299993,790.0967824,190.9899779,0.312485145,352.1707588
627,0.289328549,0.13684051,0.023826156,0.839338118,0.142094339,23.1199986,246.1599319,152.4218998,0.227655196,142.7398076
716,0.264325559,0.132365922,0.025240223,0.842386872,0.141567256,23.209999,146.7951408,2309.747557,0.240891425,172.4782605
1133,0.454966461,0.202355693,0.019676964,0.777966461,0.219523788,23.35,393.357614,1143.954912,0.326198134,369.5824855
1030,0.528513204,0.228723301,0.015137864,0.756139806,0.23807623,24.41,299.3815318,1880.264861,0.323211201,332.9075371
981,0.612353517,0.281761468,0.015088685,0.703152905,0.27970887,23.76,385.804232,1591.953475,0.411009872,403.200684
534,0.072141199,0.092194757,0.051189139,0.856623596,0.037313361,23.573334,-2.110549251,268.1075547,0.109267824,58.34901784
462,0.090703463,0.086010823,0.039597403,0.874396104,0.046599399,23.386668,17.85890216,804.9543232,0.104050387,48.07127894
2324,-0.098633262,0.114938898,0.139406196,0.746406627,0.014332803,23.200001,-3031.95159,199.6857856,0.143346698,333.1377254
1448,-0.085527279,0.103685773,0.126357044,0.770609807,0.012724214,22.49,-458.4360147,83.91982189,0.112009764,162.1901384
1520,0.070028487,0.107092105,0.075591447,0.817615132,0.010184976,22.01,-94.77635947,717.9478939,0.138497907,210.5168186
791,0.06748799,0.103887484,0.073605563,0.822771176,0.032023593,22.309999,-153.8316704,-0.181499115,0.140400526,111.0568159
,,,,,,22.33,,,,
,,,,,,22.3499997,,,,
,,,,,,22.3699994,,,,
,,,,,,22.389999,,,,
