Date,NumTweets,VaderComp,VaderPos,VaderNeg,VaderNeu,ImpactVader,FollowVader,TB,ImpactTB,FollowTB,Twinword,Stock,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Lag13,Lag14,Lag15,Lag16,Lag17,Lag18,Lag19,Lag20,Lag21
3/17/17,4889,0.165172142,0.077559624,0.013737983,0.908712825,100.1532895,4660.962537,-0.047773626,34.7302453,-17.95819686,0.1855455162,1785,1785,1785,1785,1757,1748,1768,1762,1754,1746,1738,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773
3/18/17,2742,0.229843691,0.09835485,0.015218818,0.886429613,303.0839648,532.3039799,0.186369224,296.6748194,-1599.01698,0.1909061805,1785,1785,1785,1757,1748,1768,1762,1754,1746,1738,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769
3/19/17,6039,0.170710697,0.082757079,0.01325236,0.903991224,173.4024321,290.4094598,0.102851395,60.64792716,-389.1742178,0.1127667671,1785,1785,1757,1748,1768,1762,1754,1746,1738,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765
3/20/17,2981,0.174460483,0.087430057,0.013456558,0.89911372,112.8874422,3614.187415,0.108306015,47.27593477,999.1097325,0.13172187,1785,1757,1748,1768,1762,1754,1746,1738,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765,1761
3/21/17,2109,0.126063679,0.069558084,0.01788146,0.912560929,32.60748748,2427.770921,0.105877289,11.30027332,685.5668482,0.1334895037,1757,1748,1768,1762,1754,1746,1738,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765,1761,1768
3/22/17,1652,0.105315496,0.062102906,0.014552663,0.92334201,46.26368856,510.1676026,0.113049304,12.23737595,899.6751889,0.1468124831,1748,1768,1762,1754,1746,1738,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765,1761,1768,1764
3/23/17,2062,0.048247139,0.042489816,0.018320563,0.939192047,17.64212939,-41.37313773,0.062680041,16.65994787,-68.07812648,0.05285159231,1768,1762,1754,1746,1738,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765,1761,1768,1764,1763
3/24/17,3696,0.408616017,0.141679924,0.007498106,0.85082224,1823.122911,1982.130298,0.033417019,32.25802641,61.59732892,0.2555275985,1762,1754,1746,1738,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765,1761,1768,1764,1763,1763
3/25/17,2394,0.247917627,0.092384712,0.006815789,0.900799916,652.5860228,4412.952662,0.0486279,37.98600946,3021.662707,0.1586004516,1754,1746,1738,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765,1761,1768,1764,1763,1763,1763
3/26/17,1575,0.208276889,0.107210794,0.016114921,0.876672381,353.364114,4311.807838,0.087712011,-45.86103611,3387.852439,0.1784544759,1746,1738,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765,1761,1768,1764,1763,1763,1763,1763
3/27/17,2520,0.19146004,0.090434524,0.014306746,0.895256746,616.2370633,12696.25768,0.069657986,510.5283505,2536.999249,0.1960230295,1738,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765,1761,1768,1764,1763,1763,1763,1763,1763
3/28/17,2092,0.174121176,0.08623805,0.014779637,0.898984226,131.3544778,9908.663629,0.08079177,-10.49346766,5718.911366,0.1531424996,1735,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765,1761,1768,1764,1763,1763,1763,1763,1763,1701
3/29/17,2560,0.1553375,0.070589844,0.011542578,0.917867578,124.8205853,4695.179241,0.046664658,32.97863095,2300.260337,0.1881466019,1745,1740,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765,1761,1768,1764,1763,1763,1763,1763,1763,1701,1566
3/31/17,5634,0.340634168,0.1159235,0.003462904,0.880613596,1384.696884,700.9422179,0.183540904,679.3024471,934.0261744,0.172811145,1724,1728.333333,1732.666667,1737,1746,1734,1727,1773,1769,1765,1761,1768,1764,1763,1763,1763,1763,1763,1701,1566,1592,1582
