Date,# Tweets,Vader Comp,Vader Pos,Vader Neg,Vader Neu,TB Score,Stock Price
3/15/17,2622,0.032322311,0.023996568,0.009188406,0.966816934,0.015927093,24.09
3/16/17,3139,0.006028226,0.01806913,0.019437719,0.962493788,0.00727781,23.969999
3/17/17,4296,-0.045036918,0.076550745,0.104449022,0.819054935,0.049231727,23.610001
3/18/17,3399,-0.030289703,0.094614593,0.109608414,0.795904384,0.057618804,
3/19/17,2247,-0.071243391,0.069091678,0.101415665,0.829389853,0.08658316,
3/20/17,1598,-0.036468085,0.058569462,0.081787234,0.85961577,0.078374258,23.18
3/21/17,1802,0.145373196,0.117377913,0.063311876,0.819305216,0.179307123,22.58
3/22/17,1230,0.058290081,0.06225935,0.039594309,0.898141463,0.107101256,22.709999
3/23/17,1007,0.061377557,0.0560715,0.03133863,0.912593843,0.043806876,23
3/24/17,589,0.054439728,0.062831919,0.040322581,0.896889643,0.024032743,22.940001
3/25/17,1127,0.471899734,0.2062937,0.024681455,0.769020408,0.223303064,
3/26/17,627,0.289328549,0.13684051,0.023826156,0.839338118,0.142094339,
3/27/17,716,0.264325559,0.132365922,0.025240223,0.842386872,0.141567256,23.209999
3/28/17,1133,0.454966461,0.202355693,0.019676964,0.777966461,0.219523788,23.35
3/29/17,1030,0.528513204,0.228723301,0.015137864,0.756139806,0.23807623,24.41
3/30/17,0,0,0,0,0,0,24.459999
3/31/17,981,0.612353517,0.281761468,0.015088685,0.703152905,0.27970887,23.76
4/1/17,534,0.072141199,0.092194757,0.051189139,0.856623596,0.037313361,
4/2/17,462,0.090703463,0.086010823,0.039597403,0.874396104,0.046599399,
4/3/17,2324,-0.098633262,0.114938898,0.139406196,0.746406627,0.014332803,23.200001
4/4/17,1448,-0.085527279,0.103685773,0.126357044,0.770609807,0.012724214,22.49
4/5/17,1520,0.070028487,0.107092105,0.075591447,0.817615132,0.010184976,22.01
4/6/17,791,0.06748799,0.103887484,0.073605563,0.822771176,0.032023593,22.309999
4/7/17,0,0,0,0,0,0,22.33
